ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_4349	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Seq_4350	Bacteria	Chloroflexi	AD3	Unclassified	Unclassified	Unclassified
Seq_4351	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4352	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia
Seq_4353	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Seq_4354	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Unclassified
Seq_4355	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4356	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus
Seq_4357	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4358	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Seq_4359	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_4360	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Unclassified
Seq_4361	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4362	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4363	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4364	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter
Seq_4365	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unclassified	Unclassified
Seq_4366	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
Seq_4367	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
Seq_4368	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_4369	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4370	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4371	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4372	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	Unclassified
Seq_4373	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_4374	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4375	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4376	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified
Seq_4377	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Unclassified
Seq_4378	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4379	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_4380	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Candidatus Aquirestis
Seq_4381	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_4382	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_4383	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4384	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4385	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4386	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Captivus
Seq_4387	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4388	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4389	Archaea	Thermoplasmatota	Thermoplasmata	Unclassified	Unclassified	Unclassified
Seq_4390	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
Seq_4391	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Unclassified
Seq_4392	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_4393	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	Unclassified
Seq_4394	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4395	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified
Seq_4396	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4397	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4398	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4399	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Unclassified
Seq_4400	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_4401	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_4402	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter
Seq_4403	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter
Seq_4404	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Pasteuria
Seq_4405	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified
Seq_4406	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus
Seq_4407	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter
Seq_4408	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4409	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4410	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4411	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unclassified
Seq_4412	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_4413	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_4414	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4415	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	Unclassified	Unclassified
Seq_4416	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4417	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_4418	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Frondihabitans
Seq_4419	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_4420	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
Seq_4421	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4422	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Seq_4423	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
Seq_4424	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4425	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4426	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4427	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4428	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4429	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Seq_4430	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Seq_4431	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Unclassified
Seq_4432	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4433	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Unclassified	Unclassified
Seq_4434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus
Seq_4435	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4436	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Seq_4437	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4438	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_4439	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_4440	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
Seq_4441	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4442	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
Seq_4443	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4444	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Seq_4445	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
Seq_4446	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
Seq_4447	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4448	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4449	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Unclassified
Seq_4450	Bacteria	Elusimicrobiota	Lineage IIa	Unclassified	Unclassified	Unclassified
Seq_4451	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Seq_4452	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_4453	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
Seq_4454	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4455	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria
Seq_4456	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Unclassified
Seq_4457	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_4458	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Unclassified
Seq_4459	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_4460	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Captivus
Seq_4461	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4462	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4463	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Unclassified	Unclassified
Seq_4464	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4465	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unclassified
Seq_4466	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_4467	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
Seq_4468	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_4470	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Seq_4471	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4472	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4473	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Unclassified	Unclassified
Seq_4474	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4475	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_4476	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified
Seq_4477	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4478	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
Seq_4479	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4480	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unclassified
Seq_4481	Bacteria	Firmicutes	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4482	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4483	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified
Seq_4484	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Unclassified
Seq_4485	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4486	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4487	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4488	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4489	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_4490	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4491	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Unclassified
Seq_4492	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Seq_4493	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter
Seq_4494	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified
Seq_4495	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_4496	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4497	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_4498	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4499	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4500	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4501	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Seq_4502	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_4503	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4504	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4505	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Unclassified
Seq_4506	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified
Seq_4507	Archaea	Thermoplasmatota	Thermoplasmata	Unclassified	Unclassified	Unclassified
Seq_4508	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Seq_4509	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4510	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
Seq_4511	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4512	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4513	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4514	Bacteria	Firmicutes	Bacilli	Bacillales	Unclassified	Unclassified
Seq_4515	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified
Seq_4516	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified
Seq_4517	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_4518	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4519	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4520	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_4521	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4522	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
Seq_4523	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium
Seq_4524	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4525	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
Seq_4526	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Unclassified
Seq_4527	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Seq_4528	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Seq_4529	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter
Seq_4530	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_4531	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
Seq_4532	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Unclassified
Seq_4533	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
Seq_4534	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_4535	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4536	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_4537	Bacteria	Chloroflexi	AD3	Unclassified	Unclassified	Unclassified
Seq_4538	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
Seq_4539	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4540	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4541	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4542	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4543	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4544	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4545	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4546	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Unclassified	Unclassified
Seq_4547	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4548	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4549	Bacteria	WPS-2	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4550	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella
Seq_4551	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
Seq_4552	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_4553	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4554	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Seq_4555	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Seq_4556	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4557	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Seq_4558	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_4559	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4560	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum
Seq_4561	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
Seq_4562	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4563	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_4564	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4565	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria
Seq_4566	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_4567	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Unclassified
Seq_4568	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella
Seq_4569	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Unclassified
Seq_4570	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4571	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
Seq_4572	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	Unclassified
Seq_4573	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
Seq_4574	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified
Seq_4575	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4576	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus
Seq_4577	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Unclassified	Unclassified
Seq_4578	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Seq_4579	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4580	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus
Seq_4581	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4582	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4583	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Seq_4584	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Seq_4585	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Seq_4586	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Unclassified
Seq_4587	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_4588	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Unclassified
Seq_4589	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_4590	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI cluster
Seq_4591	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4592	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
Seq_4593	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus
Seq_4594	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Endonucleariobacter
Seq_4595	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_4596	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Seq_4597	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Seq_4598	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_4599	Bacteria	Firmicutes	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4600	Bacteria	Elusimicrobiota	Elusimicrobia	FCPU453	Unclassified	Unclassified
Seq_4601	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_4602	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_4603	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Unclassified
Seq_4604	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_4605	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unclassified	Unclassified
