ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_337,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Plešné,12 h,Anoxic,Labelled,16.931775648388303,5.575971404796795,1.2394133253339787,1.550934892197496e-7,7.263545078458273e-5
Seq_834,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Plešné,12 h,Anoxic,Labelled,17.046842736029554,1.5957908624502495,2.149783476188823,3.132902698571034e-4,0.024454046063846126
Seq_519,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Anoxic,Labelled,19.645720159977586,0.9841598384864224,0.3517455331229824,4.496975813650327e-4,0.03159125509089355
Seq_627,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,12 h,Anoxic,Labelled,21.535083562991815,4.418023624115658,2.3392227815906836,1.203276751074351e-5,0.002817673058765772
Seq_1692,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,12 h,Anoxic,Labelled,25.969452258413046,0.8642504426724715,0.23734820206328638,5.732123798031741e-4,0.03719866880535537
Seq_289,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Unclassified,Unclassified,Plešné,12 h,Anoxic,Labelled,26.821955685437512,0.9401265151044756,0.2099762321725686,4.922545372954501e-5,0.0058204796224582
Seq_769,Bacteria,FCPU426,Unclassified,Unclassified,Unclassified,Unclassified,Plešné,12 h,Anoxic,Labelled,31.655249519608876,0.8440143293243719,0.20351458232289144,2.913411288643251e-4,0.024078487414963337
Seq_114,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Plešné,12 h,Anoxic,Labelled,44.079859303256924,4.505624164206679,1.2394117031758056,1.924015411295381e-6,6.758104132175025e-4
Seq_225,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,12 h,Anoxic,Labelled,46.25824029837277,2.6208416266819636,1.3462966298695414,4.7568456129242066e-5,0.0058204796224582
Seq_198,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,12 h,Anoxic,Labelled,46.40148450044563,2.3510685887166085,1.3627942617488649,8.070205661473399e-5,0.008722029964900097
Seq_230,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,Plešné,12 h,Anoxic,Labelled,58.473783897865715,0.8310356808974604,0.15702273971809774,2.5513473718524705e-5,0.004435829400072436
Seq_350,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,12 h,Anoxic,Labelled,64.95939357750663,4.579684697583136,0.8519120087281081,2.1877447920068335e-8,1.979325721093973e-5
Seq_55,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,12 h,Anoxic,Labelled,86.75178985025676,0.67232148936273906,0.14642997848529385,8.489520960896184e-4,0.04771110780023655
Seq_48,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unclassified,Plešné,12 h,Anoxic,Labelled,338.3935353808818,0.937177749901204,0.19821352413745744,2.8414565552065424e-5,0.004435829400072436
Seq_54,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Plešné,12 h,Anoxic,Labelled,348.8596143841512,4.192419279662231,0.7811196617482148,2.817545510454054e-8,1.979325721093973e-5
Seq_22,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,12 h,Anoxic,Labelled,372.47257618236534,0.5893849392594545,0.10374892678313474,3.6695662785821403e-4,0.027135476954778456
Seq_26,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Plešné,12 h,Anoxic,Labelled,404.8625728422921,0.8498123756592515,0.23607806733954043,7.125562518244564e-4,0.04171423057555672
Seq_565,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Plešné,24 h,Anoxic,Labelled,21.174838325825824,0.732676519408502,0.24941963909362094,7.925372514954084e-4,0.031152810424165667
Seq_1178,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,24 h,Anoxic,Labelled,23.847202329130877,0.7767226627812891,0.20270017250906971,1.808186997180566e-4,0.008399850505084265
Seq_769,Bacteria,FCPU426,Unclassified,Unclassified,Unclassified,Unclassified,Plešné,24 h,Anoxic,Labelled,26.918614089979602,0.829959741736867,0.22269428853519602,8.832213421982903e-5,0.005014734509592515
Seq_627,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,24 h,Anoxic,Labelled,33.68508642310392,0.6645749319538503,1.2999460603712891,0.0015432554369294962,0.039696846633931894
Seq_783,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,24 h,Anoxic,Labelled,37.6247281117701,5.246903764342792,1.917316624778413,5.656861263124748e-6,4.817760175761244e-4
Seq_400,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Plešné,24 h,Anoxic,Labelled,41.020178328115726,0.6710344760875192,0.18242774317338822,0.0011192315273206843,0.0352202729541976
Seq_350,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,24 h,Anoxic,Labelled,41.95886557634394,0.6341104136275647,1.0449530749984481,0.0016354546237683336,0.039796062511696116
Seq_114,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Plešné,24 h,Anoxic,Labelled,44.05454441075613,0.905299489836837,1.6092451853803604,8.77314796040859e-4,0.032021990055491355
Seq_406,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidisoma,Plešné,24 h,Anoxic,Labelled,53.214766644869975,0.6595762553617719,0.18676449834341535,0.0015536926275511503,0.039696846633931894
Seq_317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unclassified,Plešné,24 h,Anoxic,Labelled,55.5260801467037,0.781365045129716,0.1951542220927956,1.319288786778078e-4,0.006741565700435979
Seq_198,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,24 h,Anoxic,Labelled,56.95273871839024,7.054714378174223,1.2539412478186407,4.106206684162567e-9,2.098271615607072e-6
Seq_232,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,Plešné,24 h,Anoxic,Labelled,57.12191660234431,0.6472601110365539,0.16342191183774096,0.0011319353246351913,0.0352202729541976
Seq_225,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,24 h,Anoxic,Labelled,64.02454622888567,3.811619265911865,1.6726102300015226,1.322680973738272e-5,9.655571108289385e-4
Seq_230,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,Plešné,24 h,Anoxic,Labelled,66.53569462559496,0.6543581059389582,0.1720762756199049,0.0012406358379169408,0.0352202729541976
Seq_203,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Plešné,24 h,Anoxic,Labelled,98.81168855359695,0.5795191740694454,0.11319051970210307,6.08451196449618e-4,0.02590988011547957
Seq_260,Bacteria,FCPU426,Unclassified,Unclassified,Unclassified,Unclassified,Plešné,24 h,Anoxic,Labelled,104.40389931574728,0.8598885811207101,0.1343062356269971,1.19259915297767e-7,1.2188363343431788e-5
Seq_55,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,24 h,Anoxic,Labelled,113.44833902490572,0.6499294626595716,0.16844860299568742,0.0012382359470698354,0.0352202729541976
Seq_182,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unclassified,Plešné,24 h,Anoxic,Labelled,129.7115325240849,0.7283322998621216,0.1517160131740713,8.053806795995583e-5,0.005014734509592515
Seq_53,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,Plešné,24 h,Anoxic,Labelled,235.79034421769623,0.5126549225959547,0.09923370380867103,0.00203155699881187,0.04718752847240298
Seq_54,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Plešné,24 h,Anoxic,Labelled,349.12810859026825,4.4606990944104785,0.8587442593439771,8.970346904279364e-8,1.1641920188356405e-5
Seq_26,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Plešné,24 h,Anoxic,Labelled,405.5837497872372,0.6438699333698936,0.0766153715764255,5.661184561210857e-8,1.1641920188356405e-5
Seq_48,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unclassified,Plešné,24 h,Anoxic,Labelled,458.72405513956113,0.98669993323923,0.17572058921422187,9.113049071120473e-8,1.1641920188356405e-5
Seq_686,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,Plešné,48 h,Anoxic,Labelled,2.4223400089711893,2.301776033637254,2.078418146531219,1.4241577197858927e-4,0.02512621119907968
Seq_1545,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,48 h,Anoxic,Labelled,2.9725947122245135,1.8537247266922718,1.987383024919273,2.5533626710754837e-4,0.035037809986424695
Seq_337,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Plešné,48 h,Anoxic,Labelled,4.775488979095044,4.808080762657098,1.3618526670923008,1.7799011969159547e-6,4.3963559563824084e-4
Seq_783,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,48 h,Anoxic,Labelled,6.574780983646488,1.9205395349181118,2.354972130711789,2.2863146887542972e-4,0.035037809986424695
Seq_627,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,48 h,Anoxic,Labelled,7.472448404766008,1.443065747488106,1.8094090909367444,4.61639391126425e-4,0.04954654863255568
Seq_361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Plešné,48 h,Anoxic,Labelled,8.874538742064331,5.98784989549656,0.9476978938173258,1.0833511975038068e-10,4.459795763057338e-8
Seq_350,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,48 h,Anoxic,Labelled,16.30340772295586,5.139708788241563,0.7401930654942062,5.494689840890278e-12,3.3929709767497468e-9
Seq_198,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,48 h,Anoxic,Labelled,22.39253790353533,1.4521833331848184,1.635244594327489,4.2320035225004666e-4,0.04954654863255568
Seq_225,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,48 h,Anoxic,Labelled,32.58732933364675,4.0126726874794665,0.9771573086849422,6.148444716472232e-7,1.8983323062108016e-4
Seq_182,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unclassified,Plešné,48 h,Anoxic,Labelled,77.757043556803,0.9341256217174244,0.32957077693646497,4.814239543244276e-4,0.04954654863255568
Seq_54,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Plešné,48 h,Anoxic,Labelled,217.91664828876114,5.778488091688593,0.7203833228941882,1.6909920628210371e-15,2.088375197583981e-12
Seq_48,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unclassified,Plešné,48 h,Anoxic,Labelled,247.76569260515737,1.3465688884984217,0.39316863775691396,3.1840184665288626e-6,6.553771343605243e-4
Seq_2033,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Plešné,12 h,Oxic,Labelled,2.3038531874877854,2.0454527728601417,1.8452489355810098,0.0010943185234154708,0.025876073418261654
Seq_2026,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Plešné,12 h,Oxic,Labelled,2.9083588928667385,1.5116407720146836,1.4339334759480007,0.002430628451189845,0.0483993560017627
Seq_2811,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Plešné,12 h,Oxic,Labelled,2.943459678689388,3.360025023765095,1.4038594374504592,8.527848478968796e-5,0.0030247212573842447
Seq_3403,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,3.504631244907484,4.21739527426079,1.279286189793319,1.1508278031235476e-5,5.937225257023757e-4
Seq_2220,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,3.8005800922843287,3.8169130132573255,1.310923731767781,2.9279858218425622e-5,0.001327070046910025
Seq_2950,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidisoma,Plešné,12 h,Oxic,Labelled,3.9016375326909607,3.0521330888109612,1.6752844562876275,2.181515500106426e-4,0.006877833590613316
Seq_114,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Plešné,12 h,Oxic,Labelled,4.701200891237456,4.582348813508079,1.2319110543132885,3.78617643680011e-6,2.3873945865378473e-4
Seq_783,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,12 h,Oxic,Labelled,4.9942345362420575,1.6658737958612926,1.6502766949134662,0.0019779799592031,0.04290254066163399
Seq_431,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Plešné,12 h,Oxic,Labelled,5.292436857582752,1.960575095222893,1.000171311904809,3.3702756767219245e-4,0.009481232584244515
Seq_818,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Plešné,12 h,Oxic,Labelled,5.336381159192248,1.6704015318566117,0.8160048960610625,3.118998150619756e-4,0.009340155656347285
Seq_672,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unclassified,Plešné,12 h,Oxic,Labelled,5.419426398290704,2.5094757606055778,1.1743192220355598,2.0131609393110445e-4,0.006528393331765817
Seq_845,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Plešné,12 h,Oxic,Labelled,5.528830320720618,1.6123930355448088,1.4539700950017809,0.002017838617675654,0.04290254066163399
Seq_1762,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,Plešné,12 h,Oxic,Labelled,5.695380827386866,2.567165673786767,1.5054407302952375,3.827648275017879e-4,0.010343763790822127
Seq_337,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Plešné,12 h,Oxic,Labelled,5.873992021987379,3.86603096036335,1.6442552110895459,5.569576047664255e-5,0.00210715627136631
Seq_1061,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidicapsa,Plešné,12 h,Oxic,Labelled,6.142281396698164,1.9790110426561307,1.2416478051805906,6.857886277489002e-4,0.01729711316655559
Seq_1346,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Plešné,12 h,Oxic,Labelled,6.970606856653147,2.1914193402500577,1.147612532977601,3.424938642766741e-4,0.009481232584244515
Seq_594,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,Plešné,12 h,Oxic,Labelled,7.006333873275681,1.3216428003142082,0.8424000833334795,0.0012996417378128258,0.030103946375868516
Seq_1231,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18 freshwater group,Plešné,12 h,Oxic,Labelled,7.47122560281484,1.3799769855319028,1.0688335596967826,0.0020411781460160663,0.04290254066163399
Seq_374,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Plešné,12 h,Oxic,Labelled,7.504686448553586,2.0771858459352113,0.7273872441633084,4.598332465386359e-5,0.001799692189039144
Seq_961,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Unclassified,Plešné,12 h,Oxic,Labelled,7.972432483554761,1.7178801649093145,0.7693181963530694,1.9603806875484638e-4,0.006528393331765817
Seq_2151,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Plešné,12 h,Oxic,Labelled,8.032431359473899,1.4663589365857714,1.3098778525077632,0.0024004153004570446,0.0483993560017627
Seq_1610,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,9.18999005409451,1.7510817663909777,1.5817933803809727,0.0016867612913006912,0.03753870716914283
Seq_519,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Oxic,Labelled,9.28396489003346,3.3719029716640674,0.9989086143441364,1.788586757687988e-5,8.458524874899443e-4
Seq_157,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Plešné,12 h,Oxic,Labelled,10.360140830972348,4.268199521566933,1.9299383225510744,3.510192094046264e-5,0.0014228814381223249
Seq_825,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea,Plešné,12 h,Oxic,Labelled,10.81286560616277,1.1195401355699792,0.7686390193822153,0.0023654322172888486,0.0483993560017627
Seq_164,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidipila,Plešné,12 h,Oxic,Labelled,14.280790357983067,1.0223119424613185,0.5137281122249339,0.0013601352346812633,0.030875069827264675
Seq_302,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Plešné,12 h,Oxic,Labelled,15.06147499748123,4.242085470326491,0.8755853532437777,2.3384646820467587e-7,2.3158123949374166e-5
Seq_221,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Plešné,12 h,Oxic,Labelled,16.340189701312102,2.8410458449321174,0.5729999788616587,3.6474235774281353e-7,2.9570184002720954e-5
Seq_378,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Oxic,Labelled,16.650445901101577,2.3537417740366458,0.6387898336615512,8.064953673694461e-6,4.5768612098216066e-4
Seq_503,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Plešné,12 h,Oxic,Labelled,17.150489661896312,3.5054270336097835,0.7501521232990866,7.738920431077904e-7,5.855783126182281e-5
Seq_1257,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unclassified,Plešné,12 h,Oxic,Labelled,18.598825156711793,2.752459910147045,0.8796767577321636,3.17329773555575e-5,0.0013339603443910284
Seq_276,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Plešné,12 h,Oxic,Labelled,23.461759559737676,3.8987031920354394,0.6058553716620728,1.7272931062391275e-10,8.02062964725584e-8
Seq_361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Plešné,12 h,Oxic,Labelled,23.67093642970412,2.840896407726867,1.8374322674577022,3.397611029410393e-4,0.009481232584244515
Seq_97,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Unclassified,Plešné,12 h,Oxic,Labelled,23.872933795018426,4.708329421845145,0.832748817565364,3.739491904638675e-9,7.073872186274826e-7
Seq_172,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Oxic,Labelled,26.360688156244862,4.383604609870399,0.7008387897206804,2.376281432310839e-10,8.02062964725584e-8
Seq_138,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Oxic,Labelled,26.387017302121333,3.059424084964647,0.6153602742938193,3.482950879406853e-7,2.9570184002720954e-5
Seq_333,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Plešné,12 h,Oxic,Labelled,27.005765128168466,3.6654494829517517,0.5966335895250964,1.1980874474880082e-9,2.7196585057977785e-7
Seq_225,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Plešné,12 h,Oxic,Labelled,28.793022896747583,5.590771882435344,1.2917554080687315,2.4484360122686343e-7,2.3158123949374166e-5
Seq_41,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Plešné,12 h,Oxic,Labelled,30.565950805435754,1.7018244805861884,0.9867663047067278,6.309448981928909e-4,0.016275510442021163
Seq_327,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Plešné,12 h,Oxic,Labelled,35.051101366847135,1.2436494398417384,0.710754786739421,0.001036397375134246,0.025027894059092965
Seq_173,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Plešné,12 h,Oxic,Labelled,40.64189288892531,1.3051271840591991,0.7278161221482987,8.384502296709597e-4,0.020687848058185635
Seq_136,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Unclassified,Unclassified,Plešné,12 h,Oxic,Labelled,44.39882894184081,1.2524986970141072,0.42358879777251873,6.361058552677008e-5,0.002328968212028517
Seq_105,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Plešné,12 h,Oxic,Labelled,45.70269064491651,3.62004210935246,0.5637970838813868,2.8266536201782695e-10,8.02062964725584e-8
Seq_533,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Plešné,12 h,Oxic,Labelled,48.86457270810783,2.8615431932596604,0.9079919985259776,3.039984248428251e-5,0.001327070046910025
Seq_388,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Plešné,12 h,Oxic,Labelled,61.439937286765954,4.1134880597612185,0.7152527380437205,5.003725203640709e-9,8.113183008760292e-7
Seq_56,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Plešné,12 h,Oxic,Labelled,61.54995063778754,2.4434056508629767,0.6353509753926467,5.942020933773348e-6,3.5495756630698686e-4
Seq_200,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Plešné,12 h,Oxic,Labelled,68.40075809337092,1.964757277327228,0.8486692970694368,1.554113854886849e-4,0.00534520977362598
Seq_37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Plešné,12 h,Oxic,Labelled,102.5938630355577,0.9305217050493138,0.163637180268174,1.2404469851372853e-6,8.281807812534229e-5
Seq_44,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Plešné,12 h,Oxic,Labelled,131.52461053120123,3.2237145049302174,0.481498268909785,1.100639214379538e-10,8.02062964725584e-8
Seq_126,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Plešné,12 h,Oxic,Labelled,159.15769421379022,1.922646266901149,1.028198259253046,4.128786097854103e-4,0.010898074932707922
Seq_162,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Plešné,12 h,Oxic,Labelled,199.58173420417003,3.4221442892678033,0.9762260344145816,1.3752605754509334e-5,6.786611970160041e-4
Seq_26,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Plešné,12 h,Oxic,Labelled,284.8356106102304,1.2970207694132936,0.5782737811341261,3.127100572169135e-4,0.009340155656347285
Seq_74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,292.0947536043468,3.3337311250256687,0.7258473131965409,1.0715739136230228e-6,7.601477449763318e-5
Seq_49,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,435.86261680781166,3.013585860466011,0.82559769848139275,1.1344036681665972e-5,5.937225257023757e-4
Seq_20,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Plešné,12 h,Oxic,Labelled,449.7081319181339,3.3981003506889063,0.6276180045835459,5.407007827075999e-8,6.136953883731259e-6
Seq_15,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,722.8880626482132,3.760914483840161,0.7038471441573712,5.154791001944472e-8,6.136953883731259e-6
Seq_8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Plešné,12 h,Oxic,Labelled,1247.2140746414839,3.5514342159194374,0.6542992710357537,4.4242068878337116e-8,6.136953883731259e-6
Seq_2955,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Unclassified,Plešné,24 h,Oxic,Labelled,1.103880294516662,1.6759695512289983,1.443216014598305,0.0025339394472112227,0.03966282061055882
Seq_3530,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Plešné,24 h,Oxic,Labelled,1.227958099958939,2.2356877157714186,1.4638017433614654,8.393528567764961e-4,0.015726861861089715
Seq_3040,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Unclassified,Plešné,24 h,Oxic,Labelled,1.4590152726134633,1.5765244623319115,1.4051814894349044,0.003076002182792257,0.046876248387943506
Seq_2842,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,Unclassified,Unclassified,Plešné,24 h,Oxic,Labelled,1.5121636946560557,1.7658378194664557,1.4557988083821591,0.002126357722592956,0.03418603665863048
Seq_3921,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,Plešné,24 h,Oxic,Labelled,1.5235907908705209,1.9527283206694037,1.5654525335450404,0.0015161577391660946,0.02591409836942509
