Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & 12 h & Anoxic & Labelled,Seq_1,3073.7358507626877,0.737166942816639,0.28225298488571643,2.6117241704817262,0.004504345248801827,0.06434778926859754
Certovo & 12 h & Anoxic & Labelled,Seq_2,2601.761918623887,0.94800632175226,0.3912290579737307,2.42314905406621,0.007693306014287666,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_3,1159.5596738217323,1.15725719205817,0.3470088362005895,3.334950212591169,4.2657336326657597e-4,0.029967036389916935
Certovo & 12 h & Anoxic & Labelled,Seq_12,958.1543830346744,0.9102834915439899,0.30141013382467424,3.0200825698630562,0.0012635289129493642,0.04211763043164548
Certovo & 12 h & Anoxic & Labelled,Seq_13,836.2322582389778,0.43297382141198093,0.1569106194810321,2.759365955242566,0.0028956820345617516,0.05791364069123503
Certovo & 12 h & Anoxic & Labelled,Seq_10,787.5933022390175,0.6873844309826949,0.18302977728001893,3.755587976982888,8.6467498991287225e-05,0.025940249697386168
Certovo & 12 h & Anoxic & Labelled,Seq_11,688.4438188918868,0.6658379144467819,0.24096876840169734,2.7631710070278626,0.0028621383525279064,0.05791364069123503
Certovo & 12 h & Anoxic & Labelled,Seq_4,405.8472058901036,0.72848629254293,0.22346936649933613,3.2598933086656157,5.57270654278437e-4,0.029967036389916935
Certovo & 12 h & Anoxic & Labelled,Seq_27,384.6684476888599,0.855124754790915,0.340862056083084,2.5087120714383095,0.006058610413747938,0.07573263017184922
Certovo & 12 h & Anoxic & Labelled,Seq_51,303.40270979940067,0.9326013253850988,0.3962703763594844,2.3534469923108037,0.009300129820235023,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_52,227.60016156109012,1.3258623485444758,0.40931863884799696,3.2391936811771798,5.993407277983387e-4,0.029967036389916935
Certovo & 12 h & Anoxic & Labelled,Seq_60,140.80521223123398,0.698475694618514,0.2582111825144828,2.705055946131757,0.0034146443305601666,0.061173447535173286
Certovo & 12 h & Anoxic & Labelled,Seq_36,114.64717517976986,1.1164256333919826,0.3617608603070868,3.0860874016174273,0.0010140459904214953,0.03802672464080607
Certovo & 12 h & Anoxic & Labelled,Seq_160,111.03467851954618,1.0609989118490852,0.4108468298788923,2.58246829399132,0.00490481876864616,0.06530342216962576
Certovo & 12 h & Anoxic & Labelled,Seq_67,109.99429545354353,0.9728217576318215,0.29808798427974054,3.2635389849155323,5.501502261866602e-4,0.029967036389916935
Certovo & 12 h & Anoxic & Labelled,Seq_80,109.84181775761549,0.5657215702956936,0.19393701529732799,2.917037623933609,0.001766865722184309,0.0502386935291091
Certovo & 12 h & Anoxic & Labelled,Seq_66,108.55880537931475,0.791900663486389,0.30215324492596674,2.620857716356545,0.004385442977362902,0.06434778926859754
Certovo & 12 h & Anoxic & Labelled,Seq_42,81.62223115610117,1.0368699445194989,0.39050757184720675,2.6551852493277472,0.0039632433004147295,0.06434778926859754
Certovo & 12 h & Anoxic & Labelled,Seq_79,78.7127737552667,0.6557342248018605,0.2754299266018671,2.380766073215137,0.008638339608101155,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_144,75.86348730340272,0.8701641022306676,0.3623168307616392,2.4016662444343657,0.008160295691607065,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_187,65.18095697894397,0.9556437805624471,0.40314109284982247,2.370494592369531,0.008882151897794618,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_216,63.661720296228616,1.0469727921309169,0.3877611067630381,2.7000459145344995,0.003466495360326486,0.061173447535173286
Certovo & 12 h & Anoxic & Labelled,Seq_207,53.859002069721605,0.9188007888680209,0.2770078815416199,3.316875981126092,4.551500712328881e-4,0.029967036389916935
Certovo & 12 h & Anoxic & Labelled,Seq_178,45.010462061039824,0.9101580191785187,0.31341428020454365,2.9040094107534666,0.001842085429400667,0.0502386935291091
Certovo & 12 h & Anoxic & Labelled,Seq_252,41.58757578101031,1.130765586103826,0.40816997510551273,2.7703301444735637,0.002799974972015301,0.05791364069123503
Certovo & 12 h & Anoxic & Labelled,Seq_376,40.227522980438586,0.788411508732253,0.3289757178548323,2.396564445161137,0.008274791470965059,0.08718871706470334
Certovo & 12 h & Anoxic & Labelled,Seq_288,37.41294718277433,0.9410451131356051,0.3654014219924648,2.5753734290476054,0.005006595699671309,0.06530342216962576
Certovo & 12 h & Anoxic & Labelled,Seq_361,31.063208554355246,6.092455649289938,2.1593426496982064,2.8214399646769497,0.002390429253369968,0.05791364069123503
Certovo & 12 h & Anoxic & Labelled,Seq_344,29.71895754239901,1.120785858915059,0.35442763212358913,3.162241759198505,7.827976381511924e-4,0.03354847020647967
Certovo & 12 h & Anoxic & Labelled,Seq_513,27.84143146914912,1.0776782123080275,0.4111510650262473,2.6211247008182506,0.004382009908795413,0.06434778926859754
Certovo & 12 h & Anoxic & Labelled,Seq_465,25.03369821005534,1.0882203567683524,0.4422586419478789,2.4605971563956492,0.006935300550618958,0.08322360660742749
Certovo & 12 h & Anoxic & Labelled,Seq_476,25.021627426787987,0.7950299671573782,0.33758795114996015,2.3550306355697437,0.009260589335515688,0.08718871706470334
Certovo & 12 h & Oxic & Labelled,Seq_8,525.0521840948841,5.11091748547658,0.9848357405021049,5.189614141004722,1.0536514942106132e-7,1.1295144017937774e-5
Certovo & 12 h & Oxic & Labelled,Seq_15,301.08048946534285,5.456973010010863,1.081127766855934,5.047482062069759,2.2383539372722362e-7,1.9995961839631976e-5
